Account,Hospital_Associated_encoded,Tot_Sls_Amt,Msa_Dma_encoded,Salesperson_encoded,ST_encoded,Chain_Name_encoded,LMS_Available_Matching_Funds
281408,15,94317.0,76,108,15,37,1200.0
182310,15,66311.0,56,73,42,2,1200.0
276202,15,458191.0,86,44,1,2,646.0
195421,15,70778.0,55,100,45,1,1200.0
416540,1,19963.0,42,106,17,6,0.0
71536,15,33901.0,31,89,9,1,1200.0
712715,15,2053.0,2,84,31,20,1400.0
424109,15,22225.0,40,105,9,1,1200.0
371796,15,158352.0,144,74,48,1,1200.0
466933,1,438775.0,59,103,27,11,2053.0
321137,15,121146.0,25,93,10,2,8000.0
140897,1,846751.0,17,113,38,34,1200.0
61739,1,404005.0,30,96,15,39,1167.0
769727,15,0.0,165,50,3,33,0.0
948622,0,122535.0,91,49,23,38,1070.0
860249,15,504917.0,120,56,36,39,1190.0
275880,15,345579.0,86,44,1,2,0.0
558265,15,100911.0,191,83,47,37,1091.0
339057,15,196214.0,6,8,22,22,0.0
180558,15,534240.0,58,112,49,22,3470.0
556968,15,151038.0,8,94,10,1,1200.0
305374,15,11999.0,185,120,4,37,400.0
1116,15,51319.0,94,7,43,1,0.0
419974,15,179222.0,16,96,35,7,0.0
159883,15,60359.0,41,108,22,37,1200.0
832098,1,138797.0,71,93,10,1,0.0
623999,15,22830.0,2,11,34,20,1200.0
891116,15,70850.0,25,107,10,1,0.0
336257,15,24004.0,82,88,14,36,1200.0
249020,15,9002.0,49,32,9,1,0.0
630653,15,93599.0,181,59,32,39,1200.0
168419,15,212477.0,131,6,36,34,1200.0
769564,15,148970.0,143,13,1,2,1200.0
712439,15,27236.0,97,95,43,1,1200.0
762420,15,232773.0,143,13,1,1,0.0
431403,15,141026.0,91,66,23,38,1200.0
242530,15,200905.0,113,15,43,1,1200.0
250778,15,360547.0,185,97,4,36,1200.0
783929,15,140358.0,102,99,1,1,2400.0
371757,15,339669.0,131,6,36,34,588.0
162348,15,177067.0,185,4,4,36,1200.0
446352,1,103509.0,80,53,49,36,2389.0
638397,15,135048.0,2,111,31,20,1200.0
574350,15,413340.0,159,24,11,38,800.0
163101,15,149284.0,120,87,36,34,0.0
182682,15,341881.0,2,16,34,20,0.0
298099,15,22992.0,185,118,4,1,1200.0
691542,15,124300.0,58,112,49,1,210.0
58423,15,101971.0,2,84,31,34,1200.0
70045,15,209008.0,90,104,2,1,980.0
194266,12,112429.0,145,110,48,38,4800.0
300621,15,7803.0,2,111,34,20,0.0
577006,15,328434.0,47,51,40,2,831.0
88863,15,147892.0,25,107,10,2,1200.0
74401,15,169130.0,50,12,27,37,1025.0
430278,15,106284.0,43,72,35,36,1190.0
837718,15,459025.0,6,2,22,36,334.0
558967,15,202382.0,112,37,42,1,1200.0
885543,15,170090.0,13,121,20,22,1200.0
608971,5,128194.0,189,42,4,50,0.0
433958,15,234786.0,102,99,1,1,1200.0
240115,15,20475.0,97,71,43,1,1190.0
731804,15,192151.0,112,91,25,1,1200.0
713371,15,170811.0,58,46,45,1,780.0
68638,15,45230.0,29,32,9,23,1200.0
388132,15,292858.0,25,93,10,36,0.0
271696,15,113025.0,185,4,4,36,0.0
307910,15,69470.0,181,59,32,39,1200.0
201886,15,392022.0,67,12,40,2,967.0
490423,15,215715.0,6,8,22,36,1200.0
460342,15,236139.0,62,112,17,1,1049.0
627155,15,229038.0,29,32,9,37,0.0
653028,15,54325.0,159,24,11,34,1000.0
