,Hospital_Associated_encoded,Tot_Sls_Amt,Msa_Dma_encoded,Salesperson_encoded,ST_encoded,Chain_Name_encoded,LMS_Available_Matching_Funds
4216,15,219994.0,61,108,22,38,1000.0
2104,15,77834.0,83,54,16,38,818.0
565,15,51204.0,143,13,1,1,1007.0
2233,15,83759.0,29,58,9,1,0.0
3022,15,141680.0,195,79,33,38,1200.0
3666,15,48275.0,28,96,15,36,1190.0
50,15,144615.0,6,2,22,36,1200.0
349,0,168159.0,154,10,41,39,1186.0
3818,15,6677121.0,12,100,45,16,0.0
4077,15,1187197.0,40,105,9,34,1200.0
4393,15,140241.0,2,111,34,20,1190.0
1097,0,334396.0,104,60,14,38,1200.0
3066,15,95787.0,191,83,47,39,476.0
117,15,99717.0,186,4,4,36,600.0
2983,15,304578.0,104,78,17,7,1200.0
305,15,212870.0,51,8,22,36,0.0
1622,15,154240.0,87,41,24,39,1190.0
2537,15,127768.0,91,66,23,38,0.0
4137,15,596117.0,25,107,10,2,1200.0
1761,15,246965.0,122,45,12,36,1165.0
2478,15,420206.0,152,65,29,36,16598.0
3632,15,346591.0,124,95,43,1,1200.0
2200,15,211550.0,108,57,43,1,0.0
1435,15,79405.0,142,37,2,2,0.0
1090,15,54814.0,2,29,31,24,600.0
564,15,562911.0,86,13,1,1,1200.0
4442,15,298935.0,15,113,34,38,1200.0
2893,15,74184.0,16,75,17,7,1154.0
3904,15,70177.0,193,102,4,36,1190.0
2054,3,149075.0,70,70,38,37,1140.0
2781,15,62487.0,36,72,35,7,1200.0
2642,15,132711.0,11,70,35,6,564.0
1414,15,272018.0,104,37,42,1,1200.0
3623,12,131723.0,142,104,2,1,1200.0
4209,15,179308.0,51,108,22,36,11392.0
2648,15,129441.0,11,70,35,6,1200.0
1055,15,166387.0,142,28,2,1,1200.0
3259,15,32414.0,82,88,14,37,0.0
192,15,51319.0,94,7,43,1,0.0
2750,15,315647.0,43,72,35,1,0.0
3268,15,145334.0,82,88,14,38,0.0
1881,2,176425.0,66,46,45,39,1200.0
1489,15,47592.0,102,38,1,1,0.0
644,15,70657.0,113,15,43,39,0.0
272,15,94540.0,6,8,22,36,0.0
4091,15,0.0,40,105,9,1,200.0
3097,15,60202.0,2,84,31,25,1200.0
906,15,200677.0,102,23,1,1,735.0
3444,15,155303.0,112,91,25,1,1200.0
1034,15,51221.0,182,27,4,36,0.0
1634,15,218442.0,95,41,24,34,1200.0
955,15,356416.0,18,25,27,1,0.0
4611,15,388106.0,159,24,11,36,7575.0
